,Unnamed: 0,FilePath,Found in,% snippet in diff,pre_LCOM,post_LCOM,latest_LCOM
0,0,final/APython/app-src-main-java-com-apython-python-pythonhost-views-sdl-SDLInputConnection,6,0.7624521072796935,0.4,0.4,0.25
1,1,final/AfterFlight/AfterFlight-app-src-main-java-rang-afterflight-fragments-DateDialogFragment,3,1.0946745562130178,0.6,0.6,0.6
2,2,final/AndroTSH/app-src-main-java-io-github-phora-androtsh-DBHelper,4,0.4862183020948181,0.2352941176470588,0.2352941176470588,0.2352941176470588
3,3,final/Android-Terminal-Test/hostapplication-res-scripts-device-Phone-Calls,5,0.3893288870362651,-1.0,0.6666666666666666,0.3333333333333333
4,4,final/Android-Universal-Image-Loader/library-src-com-nostra13-universalimageloader-core-decode-ContentImageDecoder,15,0.15274841437632136,0.16666666666666666,0.2352941176470588,0.3043478260869565
5,5,final/AndroidProjectsClient/markdowntextview-src-main-java-com-tpb-mdtext-ClickableMovementMethod,4,0.4756554307116105,-1.0,0.75,0.75
6,6,final/Android_Pebble_SD/app-src-main-java-uk-org-openseizuredetector-OsdUtil,19,0.1526867627785059,0.0,0.25,0.10344827586206896
7,7,final/BaiApp/app-src-main-java-org-bienvenidoainternet-app-ThreadListAdapter,3,0.8180815876515987,0.0,0.0,0.0
8,8,final/BobClockD3/src-bob-clock-BobClockD3,4,0.08975084937712344,-1.0,-1.0,0.5555555555555556
9,9,final/Buildstation-3/core-src-com-ame-bus3-common-Utilities,3,1.1394230769230769,-1.0,-1.0,-1.0
10,10,final/CSCI201Final/FinalProject-src-Map-MapGUI,29,0.35905929115601193,0.26666666666666666,0.2903225806451613,0.2647058823529412
11,11,final/Capstone2016/ProjectNest-App-src-main-java-org-nestnz-app-util-NavigationTools,4,0.21854838709677415,-1.0,-1.0,-1.0
12,12,final/Chopping/src-main-java-com-chopping-utils-DeviceUtils,14,0.06302974264139312,0.75,0.75,0.8235294117647058
13,13,final/ColorSetter/src-Apercu,5,0.1289342904472667,0.0,0.6666666666666666,0.6666666666666666
