,Index,FilePath,Found in,% snippet in diff,pre_LCOM,post_LCOM,latest_LCOM
40,40,file-data/androidtv-sample-inputs/library-src-main-java-com-google-android-media-tv-companionlibrary-utils-CollectionUtils,3,0.3667205169628433,-1.0,-1.0,-1.0
41,41,file-data/aorra/test-charts-builder-ChartBuilderSizeTest,2,0.08528265107212475,0.6666666666666666,0.5,0.4545454545454545
42,42,file-data/appcommons/app-src-main-java-com-bentech-android-appcommons-utils-PicUtil,3,0.06999403459932392,0.42857142857142855,0.5294117647058824,0.5
43,43,file-data/basex-java-extras/org-apb-modules-TestModule,2,0.0756104736687261,-1.0,-1.0,-1.0
44,44,file-data/belvedere/belvedere-core-src-main-java-zendesk-belvedere-BelvedereFileProvider,3,0.42168674698795183,0.0,0.0,-1.0
45,45,file-data/caddisfly-app-camera/Caddisfly-src-main-java-com-ternup-caddisfly-util-ShakeDetector,6,0.08433734939759037,0.5,0.5,0.5
46,46,file-data/camel-spring-cloud-stream/camel-spring-cloud-stream-src-main-java-io-switchbit-CamelConfigurableBindingServiceProperties,3,0.2151652624756967,0.2222222222222222,0.2222222222222222,0.2222222222222222
47,47,file-data/carbon-mobile-appmgt/components-org.wso2.carbon.appmgt.mobile-src-main-java-org-wso2-mobile-utils-utilities-AndroidXMLParsing,3,8.340463458110516,0.0,0.0,0.0
48,48,file-data/cawls-common/src-net-thecallsign-common-Common,2,1.1540785498489423,-1.0,-1.0,-1.0
49,49,file-data/cbor-java/src-main-java-co-nstant-in-cbor-encoder-HalfPrecisionFloatEncoder,6,1.634943181818182,-1.0,-1.0,-1.0
50,50,file-data/chanobol/src-main-java-anabolicandroids-chanobol-ui-scaffolding-PersistentData,5,0.08165239016302846,0.25,0.14814814814814814,0.14285714285714285
51,51,file-data/com.bitplan.javafx/src-main-java-com-bitplan-javafx-XYTabPane,6,0.03480570310315907,0.06896551724137931,0.0,0.0
52,52,file-data/cordova-plugin-googlemaps/src-android-plugin-google-maps-PluginUtil,8,0.18459729570840686,-1.0,-1.0,-1.0
53,53,file-data/cutlet/CutletLib-src-main-java-com-cutlet-lib-optimizer-PermutationOptimizationStrategy,3,3.463375796178344,0.0,0.0,0.0
54,54,file-data/cw-omnibus/Introspection-CPProxy-Provider-src-com-commonsware-android-cpproxy-provider-AbstractCPProxy,3,1.8788282290279628,-1.0,-1.0,0.4615384615384616
55,55,file-data/cytoscape-plugins/org.openbel.cytoscape.navigator-src-org-openbel-cytoscape-navigator-KamNavigatorPlugin,6,0.9795361527967258,0.6111111111111112,0.6111111111111112,0.6111111111111112
56,56,file-data/datacollector/httpcommonlib-src-main-java-com-streamsets-pipeline-lib-http-HttpReceiverServlet,5,0.29894736842105263,0.0,0.0,0.0
57,57,file-data/datacollector/commonlib-src-main-java-com-streamsets-pipeline-lib-parser-udp-separated-SeparatedDataParser,4,0.7583333333333333,0.0,0.0,0.0
58,58,file-data/dataverse/src-main-java-edu-harvard-iq-dataverse-SearchIncludeFragment,29,0.3673695893451721,0.0625,0.0625,0.05504587155963303
59,59,file-data/flink/flink-libraries-flink-gelly-examples-src-test-java-org-apache-flink-graph-drivers-DriverBaseITCase,3,0.095752009184845,0.4545454545454545,0.3076923076923077,0.3076923076923077
60,60,file-data/gdx-texture-packer-gui/core-src-com-crashinvaders-texturepackergui-utils-CommonUtils,6,0.4741883980840873,-1.0,-1.0,0.7857142857142857
61,61,file-data/go-jay/app-src-main-java-ai-agusibrahim-brojekdemo-MainActivity,3,0.16822591822591826,0.275,0.3,0.2790697674418605
62,62,file-data/go-jay/app-src-main-java-ai-agusibrahim-brojekdemo-Helper-Utils,3,1.4682713347921226,-1.0,-1.0,0.5
63,63,file-data/gradle-metrics-plugin/src-main-java-nebula-plugin-metrics-dispatcher-AbstractMetricsDispatcher,16,0.26779026217228463,0.21212121212121213,0.21212121212121213,0.2903225806451613
64,64,file-data/haxademic/src-com-haxademic-core-system-JavaInfo,7,1.9338735818476498,0.0,0.0,0.14285714285714285
65,65,file-data/htm.java.experiments/src-main-java-org-numenta-nupic-util-ArrayUtils,17,0.2866161616161616,0.9,0.9021739130434784,0.9090909090909092
66,66,file-data/iNaturalistAndroid/iNaturalist-src-main-java-org-inaturalist-android-ImageUtils,5,0.1429813124728379,-1.0,0.5714285714285714,0.7
67,67,file-data/java-xplaf/src-main-java-com-timepath-plaf-win-WinRegistry,3,0.08524173027989823,0.125,0.125,0.125
68,68,file-data/jigasi/src-main-java-org-jitsi-jigasi-util-Util,7,0.28397636426833506,-1.0,-1.0,-1.0
69,69,file-data/kihonWeather/app-src-main-java-net-devrand-kihon-kihonweather-WeatherActivityFragment,3,0.18925233644859807,0.8181818181818182,0.7142857142857143,0.7333333333333333
70,70,file-data/mars_weather_explorer/app-src-main-java-mprog-nl-mars_weather_explorer-VerticalTextView,3,0.38658536585365855,0.6666666666666666,0.6666666666666666,0.6666666666666666
71,71,file-data/material-design-toolkit/lib-src-main-java-org-lab99-mdt-view-ActionButton,4,2.2840000000000003,0.3125,0.3125,0.3125
72,72,file-data/mb-exec/org.spoofax.interpreter.core-src-main-java-org-spoofax-interpreter-library-IOAgent,5,0.4454277286135693,0.15625,0.16216216216216214,0.13513513513513514
73,73,file-data/modaclouds-sla-core/sla-enforcement-src-main-java-eu-atos-sla-evaluation-guarantee-PoliciedServiceLevelEvaluator,3,0.11170212765957446,0.2857142857142857,0.2857142857142857,0.2857142857142857
74,74,file-data/ngm_clink_monitoring/app-src-main-java-com-nextgis-ngm_clink_monitoring-fragments-ComboboxControl,4,0.11768652710681694,0.3333333333333333,0.3,0.3
75,75,file-data/open-keychain/OpenKeychain-src-main-java-org-sufficientlysecure-keychain-remote-ui-SelectSignKeyIdListFragment,3,1.1833084947839043,0.5454545454545454,0.5454545454545454,0.5454545454545454
76,76,file-data/opennms-pre-github/core-snmp-api-src-main-java-org-opennms-netmgt-snmp-AbstractSnmpValue,5,0.17147192716236725,-1.0,-1.0,-1.0
77,77,file-data/operaprestodriver/test-com-opera-core-systems-environment-DefaultTestEnvironment,4,0.1875354107648725,-1.0,-1.0,-1.0
78,78,file-data/ownNoteEditor/ownNoteEditor-src-main-java-tf-ownnote-ui-helper-OwnNoteHTMLEditor,17,0.008543134899952412,0.13333333333333333,0.1388888888888889,0.13333333333333333
79,79,file-data/owsi-core-parent/owsi-core-owsi-core-components-owsi-core-component-spring-src-main-java-fr-openwide-core-spring-util-StringUtils,6,0.3012259194395797,0.6818181818181818,0.6956521739130435,0.6538461538461539
80,80,file-data/projectswg-launchpad/src-com-projectswg-launchpad-service-Manager,17,0.07356930629117685,0.3191489361702128,0.3170731707317073,0.2033898305084746
81,81,file-data/react-native-android-activity/android-app-src-main-java-com-demo-activity-MainActivity,9,0.44300059066745423,-1.0,-1.0,0.6
82,82,file-data/remoting/src-main-java-hudson-remoting-FlightRecorderInputStream,5,0.2472150814053128,0.18181818181818185,0.21428571428571427,0.2
83,83,file-data/repaper/src-main-java-com-zimmerbell-repaper-Repaper,19,0.2162654996353027,0.2857142857142857,0.375,0.14285714285714285
84,84,file-data/rosjava_roslaunch/src-org-ros-rosjava-roslaunch-util-Util,2,0.2317578772802653,0.6,0.7142857142857143,0.7333333333333333
85,85,file-data/routeKIT/src-edu-kit-pse-ws2013-routekit-util-FileUtil,5,0.5282574568288854,-1.0,-1.0,0.6666666666666666
86,86,file-data/sa-android/app-src-main-java-com-njitdev-sa_android-utils-SAUtils,6,0.13477537437603992,-1.0,-1.0,-1.0
87,87,file-data/self-compile-Android/src-nl-tudelft-selfcompileapp-Util,13,0.1462222997731635,-1.0,-1.0,0.6666666666666666
88,88,file-data/sm/src-nl-tudelft-selfcompileapp-Util,4,0.5672299779573843,-1.0,-1.0,0.6666666666666666
89,89,file-data/stringz/src-main-java-de-skuzzle-stringz-CharsetBundleControl,5,0.4581626682270333,0.0,0.0,0.0
90,90,file-data/superluminal2/src-java-com-kartoflane-superluminal2-selfpatch-SPSLPatchTask,2,0.05737603561271176,0.0,0.0,0.0
91,91,file-data/surveyor/app-src-androidTest-java-io-rapidpro-surveyor-test-BaseApplicationTest,11,0.2056151940545004,0.2307692307692308,0.2857142857142857,0.3125
92,92,file-data/test/src-main-java-org-numenta-nupic-util-ArrayUtils,16,0.2925257731958763,0.9,0.9021739130434784,0.9090909090909092
93,93,file-data/the-week-magazine-unofficial/custom-plugins-content-manager-src-android-Utilities,3,0.4183006535947713,-1.0,-1.0,-1.0
94,94,file-data/vuze-remote-for-android/vuzeAndroidRemote-src-main-java-com-vuze-android-remote-AndroidUtils,8,0.027063931097262097,0.5675675675675675,0.5555555555555556,0.7115384615384616
