,FilePath,Found in,% snippet in diff
64,final/adar_ece477/serverCode-boilerServer,10,0.09330690654063119
65,final/android-ezwebview/library-src-main-java-com-hkm-ezwebview-webviewleakfix-NonLeakingWebView,4,0.3690248565965583
66,final/androidclient/app-src-main-java-org-kontalk-ui-view-MessageItemTextView,4,1.1964285714285714
67,final/androidclient/app-src-main-java-org-kontalk-util-MessageUtils,29,0.15012594458438286
68,final/arx/src-gui-org-deidentifier-arx-gui-view-impl-common-ComponentStatusLabel,4,1.2084260289210234
69,final/aws-sdk-java-v2/test-test-utils-src-main-java-software-amazon-awssdk-testutils-Memory,7,0.8462998102466793
70,final/behaviour-composer/BC-src-uk-ac-lkl-server-ServerUtils,3,0.011519500170840045
71,final/birthday-adapter/org_birthdayadapter-src-org-birthdayadapter-CalendarSyncAdapterService,20,0.40710241893978383
72,final/brModelo/src-controlador-Diagrama,7,0.2003903708523097
73,final/citizengrid/client-launcher-src-main-java-eu-citizencyberlab-icstm-cg-ClientVboxLauncher,3,0.4255952380952381
74,final/cmake-for-ant/src-CMake,7,0.9840348330914369
75,final/college-length-estimator/src-divarktech-Jesse-Paone-FXMLDocumentController,6,0.6908866995073891
76,final/com.bitplan.javafx/src-main-java-com-bitplan-javafx-RubberBandSelection,6,0.03373872106708513
77,final/control/src-main-java-co-unruly-control-HigherOrderFunctions,3,0.4525753768844221
78,final/crowdshare/src-org-servalproject-rhizome-RhizomeDetail,15,0.09283746556473829
79,final/easyrpg-player/builds-android-app-src-main-java-org-libsdl-app-SDLActivity,7,1.18562874251497
80,final/eos-http-server/src-main-java-com-akrivos-eos-http-FilesHandler,6,0.059990165546631696
81,final/eta/utils-class-verifier-Verify,3,0.350920856147337
82,final/eyeRS/eyeRS-app-src-main-java-com-vj-widgets-AutoResizeTextView,4,2.6399345335515547
83,final/firesight-java/src-main-java-org-firepick-firesight-utils-SharedLibLoader,4,0.28075571177504394
84,final/flamingo/viewer-src-main-java-nl-b3p-viewer-print-PrintInfo,13,0.07390798870619499
